date,transaction_id,description,category,type,amount,balance
21/1/2024,TX00026,Daily Sales Deposit,Sales Revenue,Credit,$791.00,"$32,444.00"
22/1/2024,TX00027,Daily Sales Deposit,Sales Revenue,Credit,"$1,154.00","$33,598.00"
23/1/2024,TX00028,Daily Sales Deposit,Sales Revenue,Credit,$963.00,"$34,561.00"
23/1/2024,TX00029,Bakery Payment,COGS,Debit,$305.00,"$34,256.00"
24/1/2024,TX00030,Daily Sales Deposit,Sales Revenue,Credit,"$1,119.00","$35,375.00"
24/1/2024,TX00031,Coffee Supplier Payment,COGS,Debit,$487.00,"$34,888.00"
25/1/2024,TX00032,Daily Sales Deposit,Sales Revenue,Credit,"$1,089.00","$35,977.00"
26/1/2024,TX00033,Daily Sales Deposit,Sales Revenue,Credit,$959.00,"$36,936.00"
26/1/2024,TX00034,Coffee Supplier Payment,COGS,Debit,$290.00,"$36,646.00"
27/1/2024,TX00035,Daily Sales Deposit,Sales Revenue,Credit,$917.00,"$37,563.00"
28/1/2024,TX00036,Daily Sales Deposit,Sales Revenue,Credit,$901.00,"$38,464.00"
29/1/2024,TX00037,Daily Sales Deposit,Sales Revenue,Credit,$969.00,"$39,433.00"
30/1/2024,TX00038,Daily Sales Deposit,Sales Revenue,Credit,$970.00,"$40,403.00"
30/1/2024,TX00039,Rent Payment,Operating Expense,Debit,$314.00,"$40,089.00"
31/1/2024,TX00040,Daily Sales Deposit,Sales Revenue,Credit,$889.00,"$40,978.00"
1/2/2024,TX00041,Daily Sales Deposit,Sales Revenue,Credit,$907.00,"$41,885.00"
2/2/2024,TX00042,Daily Sales Deposit,Sales Revenue,Credit,"$1,066.00","$42,951.00"
3/2/2024,TX00043,Daily Sales Deposit,Sales Revenue,Credit,"$1,109.00","$44,060.00"
4/2/2024,TX00044,Daily Sales Deposit,Sales Revenue,Credit,$887.00,"$44,947.00"
5/2/2024,TX00045,Daily Sales Deposit,Sales Revenue,Credit,$740.00,"$45,687.00"
6/2/2024,TX00046,Daily Sales Deposit,Sales Revenue,Credit,"$1,000.00","$46,687.00"
6/2/2024,TX00047,Bakery Payment,COGS,Debit,$426.00,"$46,261.00"
7/2/2024,TX00048,Daily Sales Deposit,Sales Revenue,Credit,"$1,043.00","$47,304.00"
8/2/2024,TX00049,Daily Sales Deposit,Sales Revenue,Credit,$835.00,"$48,139.00"
8/2/2024,TX00050,Utility Bill Payment,Operating Expense,Debit,$238.00,"$47,901.00"
9/2/2024,TX00051,Daily Sales Deposit,Sales Revenue,Credit,$780.00,"$48,681.00"
10/2/2024,TX00052,Daily Sales Deposit,Sales Revenue,Credit,"$1,118.00","$49,799.00"
11/2/2024,TX00053,Daily Sales Deposit,Sales Revenue,Credit,$960.00,"$50,759.00"
12/2/2024,TX00054,Daily Sales Deposit,Sales Revenue,Credit,$740.00,"$51,499.00"
13/2/2024,TX00055,Daily Sales Deposit,Sales Revenue,Credit,$900.00,"$52,399.00"
14/2/2024,TX00056,Daily Sales Deposit,Sales Revenue,Credit,"$1,117.00","$53,516.00"
14/2/2024,TX00057,Maintenance Payment,Operating Expense,Debit,$161.00,"$53,355.00"
15/2/2024,TX00058,Daily Sales Deposit,Sales Revenue,Credit,$798.00,"$54,153.00"
16/2/2024,TX00059,Daily Sales Deposit,Sales Revenue,Credit,$913.00,"$55,066.00"
17/2/2024,TX00060,Daily Sales Deposit,Sales Revenue,Credit,"$1,148.00","$56,214.00"
18/2/2024,TX00061,Daily Sales Deposit,Sales Revenue,Credit,"$1,130.00","$57,344.00"
19/2/2024,TX00062,Daily Sales Deposit,Sales Revenue,Credit,$956.00,"$58,300.00"
20/2/2024,TX00063,Daily Sales Deposit,Sales Revenue,Credit,$954.00,"$59,254.00"
21/2/2024,TX00064,Daily Sales Deposit,Sales Revenue,Credit,$982.00,"$60,236.00"
22/2/2024,TX00065,Daily Sales Deposit,Sales Revenue,Credit,$714.00,"$60,950.00"
22/2/2024,TX00066,Maintenance Payment,Operating Expense,Debit,$479.00,"$60,471.00"
23/2/2024,TX00067,Daily Sales Deposit,Sales Revenue,Credit,$878.00,"$61,349.00"
23/2/2024,TX00068,Bakery Payment,COGS,Debit,$330.00,"$61,019.00"
24/2/2024,TX00069,Daily Sales Deposit,Sales Revenue,Credit,$751.00,"$61,770.00"
25/2/2024,TX00070,Daily Sales Deposit,Sales Revenue,Credit,"$1,087.00","$62,857.00"
26/2/2024,TX00071,Daily Sales Deposit,Sales Revenue,Credit,"$1,106.00","$63,963.00"
27/2/2024,TX00072,Daily Sales Deposit,Sales Revenue,Credit,$842.00,"$64,805.00"
28/2/2024,TX00073,Daily Sales Deposit,Sales Revenue,Credit,$735.00,"$65,540.00"
1/3/2024,TX00074,Daily Sales Deposit,Sales Revenue,Credit,$726.00,"$66,266.00"
2/3/2024,TX00075,Daily Sales Deposit,Sales Revenue,Credit,$485.00,"$66,751.00"
3/3/2024,TX00076,Daily Sales Deposit,Sales Revenue,Credit,$569.00,"$67,320.00"
4/3/2024,TX00077,Daily Sales Deposit,Sales Revenue,Credit,$533.00,"$67,853.00"
5/3/2024,TX00078,Daily Sales Deposit,Sales Revenue,Credit,$507.00,"$68,360.00"
5/3/2024,TX00079,Utility Bill Payment,Operating Expense,Debit,$385.00,"$67,975.00"
6/3/2024,TX00080,Daily Sales Deposit,Sales Revenue,Credit,$527.00,"$68,502.00"
7/3/2024,TX00081,Daily Sales Deposit,Sales Revenue,Credit,$747.00,"$69,249.00"
8/3/2024,TX00082,Daily Sales Deposit,Sales Revenue,Credit,$589.00,"$69,838.00"
8/3/2024,TX00083,Utility Bill Payment,Operating Expense,Debit,$476.00,"$69,362.00"
9/3/2024,TX00084,Daily Sales Deposit,Sales Revenue,Credit,$520.00,"$69,882.00"
10/3/2024,TX00085,Daily Sales Deposit,Sales Revenue,Credit,$632.00,"$70,514.00"
11/3/2024,TX00086,Daily Sales Deposit,Sales Revenue,Credit,$597.00,"$71,111.00"
12/3/2024,TX00087,Daily Sales Deposit,Sales Revenue,Credit,$536.00,"$71,647.00"
13/3/2024,TX00088,Daily Sales Deposit,Sales Revenue,Credit,$624.00,"$72,271.00"
13/3/2024,TX00089,Utility Bill Payment,Operating Expense,Debit,$271.00,"$72,000.00"
14/3/2024,TX00090,Daily Sales Deposit,Sales Revenue,Credit,$773.00,"$72,773.00"
15/3/2024,TX00091,Daily Sales Deposit,Sales Revenue,Credit,$632.00,"$73,405.00"
16/3/2024,TX00092,Daily Sales Deposit,Sales Revenue,Credit,$717.00,"$74,122.00"
17/3/2024,TX00093,Daily Sales Deposit,Sales Revenue,Credit,$451.00,"$74,573.00"
18/3/2024,TX00094,Daily Sales Deposit,Sales Revenue,Credit,$694.00,"$75,267.00"
19/3/2024,TX00095,Daily Sales Deposit,Sales Revenue,Credit,$512.00,"$75,779.00"
19/3/2024,TX00096,Utility Bill Payment,Operating Expense,Debit,$180.00,"$75,599.00"
20/3/2024,TX00097,Daily Sales Deposit,Sales Revenue,Credit,$512.00,"$76,111.00"
21/3/2024,TX00098,Daily Sales Deposit,Sales Revenue,Credit,$619.00,"$76,730.00"
21/3/2024,TX00099,Bakery Payment,COGS,Debit,$323.00,"$76,407.00"
22/3/2024,TX00100,Daily Sales Deposit,Sales Revenue,Credit,$784.00,"$77,191.00"
23/3/2024,TX00101,Daily Sales Deposit,Sales Revenue,Credit,$529.00,"$77,720.00"
24/3/2024,TX00102,Daily Sales Deposit,Sales Revenue,Credit,$617.00,"$78,337.00"
25/3/2024,TX00103,Daily Sales Deposit,Sales Revenue,Credit,$646.00,"$78,983.00"
26/3/2024,TX00104,Daily Sales Deposit,Sales Revenue,Credit,$602.00,"$79,585.00"
27/3/2024,TX00105,Daily Sales Deposit,Sales Revenue,Credit,$654.00,"$80,239.00"
28/3/2024,TX00106,Daily Sales Deposit,Sales Revenue,Credit,$724.00,"$80,963.00"
29/3/2024,TX00107,Daily Sales Deposit,Sales Revenue,Credit,$597.00,"$81,560.00"
30/3/2024,TX00108,Daily Sales Deposit,Sales Revenue,Credit,$639.00,"$82,199.00"
31/3/2024,TX00109,Daily Sales Deposit,Sales Revenue,Credit,$600.00,"$82,799.00"
1/4/2024,TX00110,Daily Sales Deposit,Sales Revenue,Credit,$725.00,"$83,524.00"
2/4/2024,TX00111,Daily Sales Deposit,Sales Revenue,Credit,$658.00,"$84,182.00"
3/4/2024,TX00112,Daily Sales Deposit,Sales Revenue,Credit,$745.00,"$84,927.00"
4/4/2024,TX00113,Daily Sales Deposit,Sales Revenue,Credit,$546.00,"$85,473.00"
5/4/2024,TX00114,Daily Sales Deposit,Sales Revenue,Credit,$598.00,"$86,071.00"
5/4/2024,TX00115,Coffee Supplier Payment,COGS,Debit,$227.00,"$85,844.00"
6/4/2024,TX00116,Daily Sales Deposit,Sales Revenue,Credit,$759.00,"$86,603.00"
6/4/2024,TX00117,Coffee Supplier Payment,COGS,Debit,$250.00,"$86,353.00"
7/4/2024,TX00118,Daily Sales Deposit,Sales Revenue,Credit,$498.00,"$86,851.00"
8/4/2024,TX00119,Daily Sales Deposit,Sales Revenue,Credit,$543.00,"$87,394.00"
9/4/2024,TX00120,Daily Sales Deposit,Sales Revenue,Credit,$459.00,"$87,853.00"
10/4/2024,TX00121,Daily Sales Deposit,Sales Revenue,Credit,$784.00,"$88,637.00"
10/4/2024,TX00122,Maintenance Payment,Operating Expense,Debit,$239.00,"$88,398.00"
11/4/2024,TX00123,Daily Sales Deposit,Sales Revenue,Credit,$436.00,"$88,834.00"
12/4/2024,TX00124,Daily Sales Deposit,Sales Revenue,Credit,$408.00,"$89,242.00"
13/4/2024,TX00125,Daily Sales Deposit,Sales Revenue,Credit,$546.00,"$89,788.00"
14/4/2024,TX00126,Daily Sales Deposit,Sales Revenue,Credit,$530.00,"$90,318.00"
15/4/2024,TX00127,Daily Sales Deposit,Sales Revenue,Credit,$453.00,"$90,771.00"
16/4/2024,TX00128,Daily Sales Deposit,Sales Revenue,Credit,$515.00,"$91,286.00"
16/4/2024,TX00129,Rent Payment,Operating Expense,Debit,$203.00,"$91,083.00"
17/4/2024,TX00130,Daily Sales Deposit,Sales Revenue,Credit,$653.00,"$91,736.00"
17/4/2024,TX00131,Bakery Payment,COGS,Debit,$198.00,"$91,538.00"
18/4/2024,TX00132,Daily Sales Deposit,Sales Revenue,Credit,$748.00,"$92,286.00"
19/4/2024,TX00133,Daily Sales Deposit,Sales Revenue,Credit,$765.00,"$93,051.00"
20/4/2024,TX00134,Daily Sales Deposit,Sales Revenue,Credit,$709.00,"$93,760.00"
21/4/2024,TX00135,Daily Sales Deposit,Sales Revenue,Credit,$568.00,"$94,328.00"
21/4/2024,TX00136,Bakery Payment,COGS,Debit,$167.00,"$94,161.00"
22/4/2024,TX00137,Daily Sales Deposit,Sales Revenue,Credit,$797.00,"$94,958.00"
23/4/2024,TX00138,Daily Sales Deposit,Sales Revenue,Credit,$783.00,"$95,741.00"
24/4/2024,TX00139,Daily Sales Deposit,Sales Revenue,Credit,$594.00,"$96,335.00"
25/4/2024,TX00140,Daily Sales Deposit,Sales Revenue,Credit,$432.00,"$96,767.00"
26/4/2024,TX00141,Daily Sales Deposit,Sales Revenue,Credit,$770.00,"$97,537.00"
27/4/2024,TX00142,Daily Sales Deposit,Sales Revenue,Credit,$421.00,"$97,958.00"
28/4/2024,TX00143,Daily Sales Deposit,Sales Revenue,Credit,$437.00,"$98,395.00"
29/4/2024,TX00144,Daily Sales Deposit,Sales Revenue,Credit,$450.00,"$98,845.00"
30/4/2024,TX00145,Daily Sales Deposit,Sales Revenue,Credit,$682.00,"$99,527.00"
1/5/2024,TX00146,Daily Sales Deposit,Sales Revenue,Credit,$676.00,"$100,203.00"
2/5/2024,TX00147,Daily Sales Deposit,Sales Revenue,Credit,$683.00,"$100,886.00"
3/5/2024,TX00148,Daily Sales Deposit,Sales Revenue,Credit,$716.00,"$101,602.00"
4/5/2024,TX00149,Daily Sales Deposit,Sales Revenue,Credit,$403.00,"$102,005.00"
4/5/2024,TX00150,Bakery Payment,COGS,Debit,$148.00,"$101,857.00"
5/5/2024,TX00151,Daily Sales Deposit,Sales Revenue,Credit,$571.00,"$102,428.00"
6/5/2024,TX00152,Daily Sales Deposit,Sales Revenue,Credit,$445.00,"$102,873.00"
7/5/2024,TX00153,Daily Sales Deposit,Sales Revenue,Credit,$498.00,"$103,371.00"
8/5/2024,TX00154,Daily Sales Deposit,Sales Revenue,Credit,$436.00,"$103,807.00"
9/5/2024,TX00155,Daily Sales Deposit,Sales Revenue,Credit,$701.00,"$104,508.00"
10/5/2024,TX00156,Daily Sales Deposit,Sales Revenue,Credit,$498.00,"$105,006.00"
11/5/2024,TX00157,Daily Sales Deposit,Sales Revenue,Credit,$515.00,"$105,521.00"
12/5/2024,TX00158,Daily Sales Deposit,Sales Revenue,Credit,$560.00,"$106,081.00"
13/5/2024,TX00159,Daily Sales Deposit,Sales Revenue,Credit,$527.00,"$106,608.00"
14/5/2024,TX00160,Daily Sales Deposit,Sales Revenue,Credit,$622.00,"$107,230.00"
15/5/2024,TX00161,Daily Sales Deposit,Sales Revenue,Credit,$722.00,"$107,952.00"
16/5/2024,TX00162,Daily Sales Deposit,Sales Revenue,Credit,$679.00,"$108,631.00"
17/5/2024,TX00163,Daily Sales Deposit,Sales Revenue,Credit,$741.00,"$109,372.00"
18/5/2024,TX00164,Daily Sales Deposit,Sales Revenue,Credit,$526.00,"$109,898.00"
19/5/2024,TX00165,Daily Sales Deposit,Sales Revenue,Credit,$785.00,"$110,683.00"
20/5/2024,TX00166,Daily Sales Deposit,Sales Revenue,Credit,$503.00,"$111,186.00"
21/5/2024,TX00167,Daily Sales Deposit,Sales Revenue,Credit,$698.00,"$111,884.00"
22/5/2024,TX00168,Daily Sales Deposit,Sales Revenue,Credit,$438.00,"$112,322.00"
23/5/2024,TX00169,Daily Sales Deposit,Sales Revenue,Credit,$646.00,"$112,968.00"
24/5/2024,TX00170,Daily Sales Deposit,Sales Revenue,Credit,$705.00,"$113,673.00"
25/5/2024,TX00171,Daily Sales Deposit,Sales Revenue,Credit,$412.00,"$114,085.00"
25/5/2024,TX00172,Bakery Payment,COGS,Debit,$490.00,"$113,595.00"
26/5/2024,TX00173,Daily Sales Deposit,Sales Revenue,Credit,$435.00,"$114,030.00"
27/5/2024,TX00174,Daily Sales Deposit,Sales Revenue,Credit,$720.00,"$114,750.00"
27/5/2024,TX00175,Rent Payment,Operating Expense,Debit,$499.00,"$114,251.00"
28/5/2024,TX00176,Daily Sales Deposit,Sales Revenue,Credit,$770.00,"$115,021.00"
29/5/2024,TX00177,Daily Sales Deposit,Sales Revenue,Credit,$491.00,"$115,512.00"
30/5/2024,TX00178,Daily Sales Deposit,Sales Revenue,Credit,$687.00,"$116,199.00"
31/5/2024,TX00179,Daily Sales Deposit,Sales Revenue,Credit,$741.00,"$116,940.00"
1/6/2024,TX00180,Daily Sales Deposit,Sales Revenue,Credit,$585.00,"$117,525.00"
2/6/2024,TX00181,Daily Sales Deposit,Sales Revenue,Credit,$524.00,"$118,049.00"
3/6/2024,TX00182,Daily Sales Deposit,Sales Revenue,Credit,$457.00,"$118,506.00"
3/6/2024,TX00183,Coffee Supplier Payment,COGS,Debit,$279.00,"$118,227.00"
4/6/2024,TX00184,Daily Sales Deposit,Sales Revenue,Credit,$725.00,"$118,952.00"
5/6/2024,TX00185,Daily Sales Deposit,Sales Revenue,Credit,$500.00,"$119,452.00"
6/6/2024,TX00186,Daily Sales Deposit,Sales Revenue,Credit,$452.00,"$119,904.00"
7/6/2024,TX00187,Daily Sales Deposit,Sales Revenue,Credit,$507.00,"$120,411.00"
8/6/2024,TX00188,Daily Sales Deposit,Sales Revenue,Credit,$595.00,"$121,006.00"
9/6/2024,TX00189,Daily Sales Deposit,Sales Revenue,Credit,$771.00,"$121,777.00"
10/6/2024,TX00190,Daily Sales Deposit,Sales Revenue,Credit,$754.00,"$122,531.00"
11/6/2024,TX00191,Daily Sales Deposit,Sales Revenue,Credit,$707.00,"$123,238.00"
11/6/2024,TX00192,Rent Payment,Operating Expense,Debit,$469.00,"$122,769.00"
12/6/2024,TX00193,Daily Sales Deposit,Sales Revenue,Credit,$505.00,"$123,274.00"
13/6/2024,TX00194,Daily Sales Deposit,Sales Revenue,Credit,$544.00,"$123,818.00"
14/6/2024,TX00195,Daily Sales Deposit,Sales Revenue,Credit,$674.00,"$124,492.00"
15/6/2024,TX00196,Daily Sales Deposit,Sales Revenue,Credit,$745.00,"$125,237.00"
15/6/2024,TX00197,Bakery Payment,COGS,Debit,$216.00,"$125,021.00"
16/6/2024,TX00198,Daily Sales Deposit,Sales Revenue,Credit,$795.00,"$125,816.00"
17/6/2024,TX00199,Daily Sales Deposit,Sales Revenue,Credit,$457.00,"$126,273.00"
18/6/2024,TX00200,Daily Sales Deposit,Sales Revenue,Credit,$638.00,"$126,911.00"
19/6/2024,TX00201,Daily Sales Deposit,Sales Revenue,Credit,$525.00,"$127,436.00"
19/6/2024,TX00202,Maintenance Payment,Operating Expense,Debit,$188.00,"$127,248.00"
20/6/2024,TX00203,Daily Sales Deposit,Sales Revenue,Credit,$772.00,"$128,020.00"
21/6/2024,TX00204,Daily Sales Deposit,Sales Revenue,Credit,$588.00,"$128,608.00"
22/6/2024,TX00205,Daily Sales Deposit,Sales Revenue,Credit,$468.00,"$129,076.00"
23/6/2024,TX00206,Daily Sales Deposit,Sales Revenue,Credit,$646.00,"$129,722.00"
23/6/2024,TX00207,Utility Bill Payment,Operating Expense,Debit,$253.00,"$129,469.00"
24/6/2024,TX00208,Daily Sales Deposit,Sales Revenue,Credit,$485.00,"$129,954.00"
24/6/2024,TX00209,Maintenance Payment,Operating Expense,Debit,$319.00,"$129,635.00"
25/6/2024,TX00210,Daily Sales Deposit,Sales Revenue,Credit,$446.00,"$130,081.00"
25/6/2024,TX00211,Rent Payment,Operating Expense,Debit,$337.00,"$129,744.00"
26/6/2024,TX00212,Daily Sales Deposit,Sales Revenue,Credit,$603.00,"$130,347.00"
26/6/2024,TX00213,Rent Payment,Operating Expense,Debit,$440.00,"$129,907.00"
27/6/2024,TX00214,Daily Sales Deposit,Sales Revenue,Credit,$688.00,"$130,595.00"
28/6/2024,TX00215,Daily Sales Deposit,Sales Revenue,Credit,$756.00,"$131,351.00"
29/6/2024,TX00216,Daily Sales Deposit,Sales Revenue,Credit,$409.00,"$131,760.00"
30/6/2024,TX00217,Daily Sales Deposit,Sales Revenue,Credit,$499.00,"$132,259.00"
30/6/2024,TX00218,Coffee Supplier Payment,COGS,Debit,$322.00,"$131,937.00"
1/7/2024,TX00219,Daily Sales Deposit,Sales Revenue,Credit,$749.00,"$132,686.00"
2/7/2024,TX00220,Daily Sales Deposit,Sales Revenue,Credit,$595.00,"$133,281.00"
3/7/2024,TX00221,Daily Sales Deposit,Sales Revenue,Credit,$824.00,"$134,105.00"
4/7/2024,TX00222,Daily Sales Deposit,Sales Revenue,Credit,$515.00,"$134,620.00"
4/7/2024,TX00223,Coffee Supplier Payment,COGS,Debit,$346.00,"$134,274.00"
5/7/2024,TX00224,Daily Sales Deposit,Sales Revenue,Credit,$996.00,"$135,270.00"
6/7/2024,TX00225,Daily Sales Deposit,Sales Revenue,Credit,$659.00,"$135,929.00"
7/7/2024,TX00226,Daily Sales Deposit,Sales Revenue,Credit,$651.00,"$136,580.00"
8/7/2024,TX00227,Daily Sales Deposit,Sales Revenue,Credit,$662.00,"$137,242.00"
9/7/2024,TX00228,Daily Sales Deposit,Sales Revenue,Credit,$916.00,"$138,158.00"
10/7/2024,TX00229,Daily Sales Deposit,Sales Revenue,Credit,$926.00,"$139,084.00"
11/7/2024,TX00230,Daily Sales Deposit,Sales Revenue,Credit,$822.00,"$139,906.00"
12/7/2024,TX00231,Daily Sales Deposit,Sales Revenue,Credit,$667.00,"$140,573.00"
13/7/2024,TX00232,Daily Sales Deposit,Sales Revenue,Credit,$543.00,"$141,116.00"
14/7/2024,TX00233,Daily Sales Deposit,Sales Revenue,Credit,$511.00,"$141,627.00"
14/7/2024,TX00234,Maintenance Payment,Operating Expense,Debit,$485.00,"$141,142.00"
15/7/2024,TX00235,Daily Sales Deposit,Sales Revenue,Credit,$998.00,"$142,140.00"
16/7/2024,TX00236,Daily Sales Deposit,Sales Revenue,Credit,$714.00,"$142,854.00"
16/7/2024,TX00237,Maintenance Payment,Operating Expense,Debit,$363.00,"$142,491.00"
17/7/2024,TX00238,Daily Sales Deposit,Sales Revenue,Credit,$909.00,"$143,400.00"
18/7/2024,TX00239,Daily Sales Deposit,Sales Revenue,Credit,$917.00,"$144,317.00"
19/7/2024,TX00240,Daily Sales Deposit,Sales Revenue,Credit,$890.00,"$145,207.00"
19/7/2024,TX00241,Maintenance Payment,Operating Expense,Debit,$213.00,"$144,994.00"
20/7/2024,TX00242,Daily Sales Deposit,Sales Revenue,Credit,$574.00,"$145,568.00"
21/7/2024,TX00243,Daily Sales Deposit,Sales Revenue,Credit,$919.00,"$146,487.00"
22/7/2024,TX00244,Daily Sales Deposit,Sales Revenue,Credit,$748.00,"$147,235.00"
23/7/2024,TX00245,Daily Sales Deposit,Sales Revenue,Credit,$856.00,"$148,091.00"
24/7/2024,TX00246,Daily Sales Deposit,Sales Revenue,Credit,$691.00,"$148,782.00"
25/7/2024,TX00247,Daily Sales Deposit,Sales Revenue,Credit,$598.00,"$149,380.00"
26/7/2024,TX00248,Daily Sales Deposit,Sales Revenue,Credit,$965.00,"$150,345.00"
27/7/2024,TX00249,Daily Sales Deposit,Sales Revenue,Credit,$595.00,"$150,940.00"
28/7/2024,TX00250,Daily Sales Deposit,Sales Revenue,Credit,$689.00,"$151,629.00"
29/7/2024,TX00251,Daily Sales Deposit,Sales Revenue,Credit,$767.00,"$152,396.00"
30/7/2024,TX00252,Daily Sales Deposit,Sales Revenue,Credit,$512.00,"$152,908.00"
31/7/2024,TX00253,Daily Sales Deposit,Sales Revenue,Credit,$854.00,"$153,762.00"
31/7/2024,TX00254,Bakery Payment,COGS,Debit,$372.00,"$153,390.00"
1/8/2024,TX00255,Daily Sales Deposit,Sales Revenue,Credit,$561.00,"$153,951.00"
2/8/2024,TX00256,Daily Sales Deposit,Sales Revenue,Credit,$716.00,"$154,667.00"
3/8/2024,TX00257,Daily Sales Deposit,Sales Revenue,Credit,$686.00,"$155,353.00"
3/8/2024,TX00258,Rent Payment,Operating Expense,Debit,$199.00,"$155,154.00"
4/8/2024,TX00259,Daily Sales Deposit,Sales Revenue,Credit,$944.00,"$156,098.00"
5/8/2024,TX00260,Daily Sales Deposit,Sales Revenue,Credit,$575.00,"$156,673.00"
6/8/2024,TX00261,Daily Sales Deposit,Sales Revenue,Credit,$783.00,"$157,456.00"
7/8/2024,TX00262,Daily Sales Deposit,Sales Revenue,Credit,$883.00,"$158,339.00"
8/8/2024,TX00263,Daily Sales Deposit,Sales Revenue,Credit,$866.00,"$159,205.00"
8/8/2024,TX00264,Utility Bill Payment,Operating Expense,Debit,$168.00,"$159,037.00"
9/8/2024,TX00265,Daily Sales Deposit,Sales Revenue,Credit,$895.00,"$159,932.00"
10/8/2024,TX00266,Daily Sales Deposit,Sales Revenue,Credit,$878.00,"$160,810.00"
11/8/2024,TX00267,Daily Sales Deposit,Sales Revenue,Credit,$552.00,"$161,362.00"
12/8/2024,TX00268,Daily Sales Deposit,Sales Revenue,Credit,$556.00,"$161,918.00"
12/8/2024,TX00269,Coffee Supplier Payment,COGS,Debit,$280.00,"$161,638.00"
13/8/2024,TX00270,Daily Sales Deposit,Sales Revenue,Credit,$685.00,"$162,323.00"
13/8/2024,TX00271,Coffee Supplier Payment,COGS,Debit,$322.00,"$162,001.00"
14/8/2024,TX00272,Daily Sales Deposit,Sales Revenue,Credit,$632.00,"$162,633.00"
15/8/2024,TX00273,Daily Sales Deposit,Sales Revenue,Credit,$720.00,"$163,353.00"
16/8/2024,TX00274,Daily Sales Deposit,Sales Revenue,Credit,$645.00,"$163,998.00"
17/8/2024,TX00275,Daily Sales Deposit,Sales Revenue,Credit,$508.00,"$164,506.00"
18/8/2024,TX00276,Daily Sales Deposit,Sales Revenue,Credit,$991.00,"$165,497.00"
19/8/2024,TX00277,Daily Sales Deposit,Sales Revenue,Credit,$729.00,"$166,226.00"
19/8/2024,TX00278,Coffee Supplier Payment,COGS,Debit,$240.00,"$165,986.00"
20/8/2024,TX00279,Daily Sales Deposit,Sales Revenue,Credit,$892.00,"$166,878.00"
21/8/2024,TX00280,Daily Sales Deposit,Sales Revenue,Credit,$621.00,"$167,499.00"
21/8/2024,TX00281,Maintenance Payment,Operating Expense,Debit,$128.00,"$167,371.00"
22/8/2024,TX00282,Daily Sales Deposit,Sales Revenue,Credit,$921.00,"$168,292.00"
23/8/2024,TX00283,Daily Sales Deposit,Sales Revenue,Credit,$995.00,"$169,287.00"
24/8/2024,TX00284,Daily Sales Deposit,Sales Revenue,Credit,$841.00,"$170,128.00"
25/8/2024,TX00285,Daily Sales Deposit,Sales Revenue,Credit,$826.00,"$170,954.00"
26/8/2024,TX00286,Daily Sales Deposit,Sales Revenue,Credit,$631.00,"$171,585.00"
27/8/2024,TX00287,Daily Sales Deposit,Sales Revenue,Credit,$751.00,"$172,336.00"
27/8/2024,TX00288,Utility Bill Payment,Operating Expense,Debit,$463.00,"$171,873.00"
